collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link
2026-06-22 08:28:29,중고 ThinkPad,58984633875,레노버 레노버 씽크패드 X390 i7 램16GB NVMe512GB Win11 중고노트북,486030,G마켓,레노버,레노버,16GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4680698861&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01 07:20:47,중고 맥북,91180820657,Apple 2019 맥북프로 16 스페이스그레이 i7 16GB 512GB,490000,리테크브릿지,Apple,Apple,16GB,512GB,i7,https://smartstore.naver.com/main/products/13636309976
2026-07-01 07:20:47,중고 ThinkPad,58967851413,레노버 레노버 씽크패드 X390 i5 16G 512G 윈11 터치스크린 중고노트북,490050,G마켓,레노버,레노버,16GB,512GB,i5,https://link.gmarket.co.kr/gate/pcs?item-no=4607041206&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26 10:38:46,중고 ThinkPad,60186668025,레노버 레노버 씽크패드 X13 GEN1 10세대 i5 16GB 1TB 윈11 중고노트북,498820,옥션,레노버,레노버,16GB,1TB,i5,https://link.auction.co.kr/gate/pcs?item-no=F412964074&sub-id=1&service-code=10000003
2026-07-01 07:20:47,중고 ThinkPad,60356978146,레노버 씽크패드 T14s Gen1 10세대 i7 램16G SSD1TB Win11Pro ThinkPad 중고노트북,498820,G마켓,,,16GB,1TB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4774773878&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-01 07:20:47,중고 ThinkPad,57942382373,레노버 [리퍼 중고]레노버 씽크패드 X390 i5 16G 512G 윈11 터치스크린,504660,롯데ON,레노버,레노버,16GB,512GB,i5,https://www.lotteon.com/p/product/LO2583381691?sitmNo=LO2583381691_2583381692&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
2026-06-20 03:33:22,중고 ThinkPad,60277738070,레노버 씽크패드 X13 GEN1 10세대 i5 16GB 1TB 윈11 중고노트북,509000,11번가,레노버,,16GB,1TB,i5,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=8891619792&tid=1000000061
2026-06-25 23:04:28,중고 ThinkPad,60278324650,레노버 [리퍼 중고]레노버 씽크패드 X13 GEN1 10세대 i5 16GB 1TB 윈11,510710,롯데ON,레노버,레노버,16GB,1TB,i5,https://www.lotteon.com/p/product/LO2583266349?sitmNo=LO2583266349_2583266350&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
2026-07-01 07:20:47,리퍼 갤럭시북,59638617098,삼성전자 NT951XCJ 리퍼 겔럭시북 인텔10세대 i7-10510U DDR4 16G NVMe512G 윈도우11 15.6풀HD,546840,G마켓,삼성,삼성전자,16GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=3346415558&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-26 23:53:43,리퍼 ThinkPad,57942120365,[리퍼] 레노버 씽크패드 X390 i5 16G 512G Win11 터치스크린,555000,GSSHOP,레노버,레노버,16GB,512GB,i5,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1101325309&vodFlag=N&prdseqnum=1101325309&utm_source=price&utm_medium=affiliate&utm_campaign=naver
2026-06-24 22:15:52,리퍼 ThinkPad,60089593838,[업그레이드 리퍼] 레노버 싱크패드 T470 14인치 16G/512G FHD 윈10 508019,557600,11번가,UNKNOWN,,16GB,512GB,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9187838602&tid=1000000061
2026-07-01 07:20:47,리퍼 갤럭시북,59660384174,[삼성 NT951XCJ] 리퍼 겔럭시북 이온 인텔10세대 i7-10510U DDR4 16G NVMe512G IRIS 윈도우11 15.6풀HD,588000,11번가,삼성,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9274606805&tid=1000000061
2026-06-26 23:53:43,리퍼 갤럭시북,88347295221,[삼성 NT951XCJ] 리퍼 겔럭시북 이온 인텔10세대 i7-10510U DDR4 16G NVMe512G IRIS 윈도우11 15.6풀HD,588000,인코아즈 스토어,,삼성전자,16GB,512GB,i7,https://smartstore.naver.com/main/products/10802789231
2026-07-01 07:20:47,리퍼 갤럭시북,59638629327,삼성전자 NT951XCJ 리퍼 겔럭시북 인텔10세대 i7-10510U DDR4 16G NVMe512G 윈도우11 15.6풀HD,588000,옥션,삼성,삼성전자,16GB,512GB,i7,https://link.auction.co.kr/gate/pcs?item-no=F532779359&sub-id=1&service-code=10000003
2026-06-18 08:18:16,중고 노트북,91121813923,LG 노트북 i5-8세대 15U480 16G SSD512G MX150 윈10,589000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13577303512
2026-07-01 07:20:47,리퍼 ThinkPad,89251365216,레노버 씽크패드 i7 16G 512G 사무용 인강용 터치 리퍼노트북 윈도우11,599000,피씨솔루션,레노버,레노버,16GB,512GB,i7,https://smartstore.naver.com/main/products/11706854749
2026-07-01 07:20:47,중고 맥북,91182410982,애플 맥북 프로 2020 13인치 i7 A2251 16GB 512GB SSD 스페이스그레이,599000,리뉴올노트북,Apple,Apple,16GB,512GB,i7,https://smartstore.naver.com/main/products/13637900273
2026-06-24 22:15:52,리퍼 ThinkPad,60088007291,레노버 LENOVO 리퍼노트북 ThinkPad T14s 인텔10세대 i7-10510U 16G NVMe512G UHD 윈도우11 14인치 507987,616300,11번가,레노버,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9140157326&tid=1000000061
2026-06-20 03:33:22,중고 노트북,89732394109,삼성 노트북 플러스2 i3 11세대-1115G4 16G SSD512G 윈11 15.6인치,629000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,512GB,i3,https://smartstore.naver.com/main/products/12187883404
2026-07-01 07:20:47,리퍼 갤럭시북,60516777900,삼성 갤럭시북 Pro NT931XDB (i5-1135G7 16GB S512GB Win11P) [리퍼상품],643000,GSSHOP,삼성,삼성전자,16GB,512GB,i5,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1127474074&vodFlag=N&prdseqnum=1127474074&utm_source=price&utm_medium=affiliate&utm_campaign=naver
2026-06-26 23:53:43,리퍼 ThinkPad,58571344876,레노버 (현대Hmall)리퍼 씽크패드 노트북 32GB Win11 X13 SSD512GB 라이젠5Pro 4650U,659000,옥션,레노버,레노버,32GB,512GB,Ryzen 5,https://link.auction.co.kr/gate/pcs?item-no=F457619212&sub-id=1&service-code=10000003
2026-06-23 10:08:59,리퍼 ThinkPad,58571472495,레노버 (현대Hmall)리퍼 씽크패드 노트북 32GB Win11 X13 SSD512GB 라이젠5Pro 4650U,671040,G마켓,레노버,레노버,32GB,512GB,Ryzen 5,https://link.gmarket.co.kr/gate/pcs?item-no=4650511445&sub-id=1003&service-code=10000003&lcd=100000002
2026-06-18 08:18:16,중고 노트북,91174085265,LG 노트북 10세대 15U50N MX250 10세대 16GB SSD512G WIN11,679000,일체형pc  중고노트북,LG전자,,16GB,512GB,,https://smartstore.naver.com/main/products/13629574656
2026-07-01 07:20:47,리퍼 ThinkPad,90847758958,Lenovo 리퍼제품 레노버 씽크패드 T14s Gen2 노트북 14인치 FHD1920x1080 윈도우 11 프로 코어 i5-1145G7 512GB SSD 16GB RAM 지문,682240,다정아울렛,레노버,레노버,16GB,512GB,i5,https://smartstore.naver.com/main/products/13303248626
2026-06-26 23:53:43,중고 ThinkPad,91183159853,레노버 ThinkPad E16 Gen1 13세대 i5-1335U 램16GB NVME512GB 15.6 윈도11 중고노트북,698000,도담코퍼레이션,씽크패드,레노버,16GB,512GB,i5,https://smartstore.naver.com/main/products/13638649144
2026-07-01 07:20:47,리퍼 ThinkPad,59819364078,[리퍼] 레노버 씽크패드 X390 i5 16G 512G Win11 터치스크린 573526,698800,11번가,레노버,,16GB,512GB,i5,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308457452&tid=1000000061
2026-07-01 07:20:47,중고 노트북,91106801324,삼성 노트북 플러스2 i5 11세대-1135G7 16G SSD512G 윈11 15.6인치,699000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13562290957
2026-06-25 23:04:28,리퍼 ThinkPad,59819383036,[리퍼] 레노버 씽크패드 X390 i7 램16GB NVMe512GB Win11 573525,703900,11번가,레노버,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308457681&tid=1000000061
2026-07-01 07:20:47,중고 노트북,91175258335,LG 노트북 gram 10세대 14ZB995 윈11 인텔i5 16GB SSD512GB,709000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13630747671
